date,avg_temperature,avg_humidity,avg_pressure,avg_wind_speed,sum_precipitation,timestamp,PM10,PM2_5
2025-08-23,12.829166666666666,73.58333333333333,1008.3333333333334,13.637500000000001,4.4,2025-08-23T17:28:55.195567,6.3,6.0
2025-08-24,14.975,62.458333333333336,1011.5750000000002,17.516666666666666,4.2,2025-08-24T17:20:42.314370,5.3,3.8
2025-08-25,15.245833333333332,70.95833333333333,1011.7708333333334,12.512499999999998,10.399999999999999,2025-08-25T17:21:13.455341,5.4,4.2
2025-08-26,14.75,75.41666666666667,1012.1833333333334,6.05,0.2,2025-08-26T17:22:32.345101,26.6,20.7
2025-08-27,15.791666666666666,73.54166666666667,1013.7791666666667,7.575,0.1,2025-08-27T17:21:57.363151,34.4,25.2
2025-08-28,19.825,69.54166666666667,1008.2041666666668,7.7875000000000005,0.0,2025-08-28T17:21:59.089313,52.8,43.0
2025-08-29,20.0,80.45833333333333,1002.9791666666666,6.274999999999999,13.6,2025-08-29T17:20:58.395011,46.6,32.7
2025-08-30,17.370833333333334,90.5,1007.6708333333332,3.091666666666667,0.7,2025-08-30T17:19:10.499893,23.7,20.1
2025-08-31,18.216666666666665,84.70833333333333,1012.9499999999999,4.116666666666666,0.0,2025-08-31T17:19:58.937004,20.1,16.3
2025-09-01,17.7,86.91666666666667,1013.6208333333334,5.220833333333334,0.0,2025-09-01T17:20:50.028778,29.4,26.6
2025-09-02,20.099999999999998,84.875,1009.5875,6.479166666666667,0.0,2025-09-02T17:20:56.465081,29.8,27.3
